Naziv kompanije,PIB,Matični broj,CRPS Status,Promet 2024,Profit,Broj zaposlenih,Grad,Adresa,Datum osnivanja,Ukupna aktiva
CUNGU & CO,02256134,50058243,Aktivan,24660462,3398597,242,,,2002-08-08,18418927
RAMEL,02142520,50124091,Aktivan,24971172,758340,256,,,2002-08-14,26165517
CEMEX MONTENEGRO,02270803,40003731,Aktivan,24217771,1190713,7,,,2002-08-14,8869503
LEDO D.O.O. PODGORICA,02126265,50020822,Aktivan,24180669,3721637,114,,,2002-07-29,16105974
STAMBENO,02718553,50474401,Aktivan,23871678,861384,120,,,2008-06-06,11475201
KLIKOVAC,02191601,50030410,Aktivan,25319754,654263,125,,,2002-08-01,11981012
ATACO DOO,02672642,50399392,Aktivan,25256062,734208,102,,,2007-08-06,8690165
TEA MEDICA,02404184,50210780,Aktivan,23246072,1055876,219,,,2004-04-21,5871124
NOBLEWOOD ADRIATIC DOO,03444759,51039854,Aktivan,22923824,1892452,156,,,2022-06-07,40078146
PERSPEKTIF YAPI INSAAT SANAYI VE TICARET ANONIM SIRKETI,03482219,60015064,Aktivan,22571951,-12876467,177,,,2022-10-17,8893009
BONESA,02251531,50132901,Aktivan,22482987,1704328,42,,,2002-08-14,16072116
BRIV CONSTRUCTION,02052822,50096913,Aktivan,23897676,1910798,114,,,2002-08-13,32594241
EFEL MOTORS,02377241,50170820,Aktivan,22899235,860584,51,,,2003-04-24,18208036
NEXT AUTO,02861194,50618400,Aktivan,23438411,1106156,185,,,2011-11-18,15285546
DRVOMONT,02367858,50151244,Aktivan,22203393,1085179,123,,,2002-12-11,18236873
CARLSBERG MONTENEGRO,02657457,50373232,Aktivan,21741029,1261281,30,,,2007-04-23,7803894
CARINE,02094754,50072684,Aktivan,22725733,1734131,237,,,2002-08-09,103397904
N.V.BESIX S.A. MONTENEGRO DIO STRANOG DRUŠTVA - TIVAT,02945371,60012046,Aktivan,21487258,-2434551,31,,,2013-07-18,18915370
KRNOVO GREEN ENERGY,02713527,50466490,Aktivan,21918102,3149025,1,,,2008-05-07,95519536
ALLIANCE,02165473,50113602,Aktivan,21834027,1003554,80,,,2002-08-14,16072736
PANVEL,02075512,50049120,Aktivan,21532218,137661,100,,,2002-08-07,10056692
OSMANAGIĆ CO,02293544,50117502,Aktivan,22007742,1508120,43,,,2002-08-14,14252546
EUROMIX BETON,02650258,50361751,Aktivan,22910793,1895505,112,,,2007-03-13,29771850
KOMPAS MONTENEGRO,02321688,50065052,Aktivan,20896015,499988,28,,,2002-08-09,3180085
CRNAGORAPUT,02013703,40000565,Aktivan,23009208,1036040,330,,,2002-08-13,27578040
KNJAZ MILOŠ - MONTENEGRO D.O.O,02309084,50031144,Aktivan,20126087,911316,37,,,2002-08-01,5653309
RED COMMERCE,02391678,50186823,Aktivan,20003894,272587,46,,,2003-09-01,9786948
LC WAIKIKI RETAIL MNE,03194817,50837108,Aktivan,19898325,1469449,130,,,2018-05-28,17299758
MONTE PUT,02462494,50295114,Aktivan,20809933,6110529,309,,,2006-05-09,51694230
EURO PETROL CG,02925940,50657967,Aktivan,19522562,154223,39,,,2013-04-16,3804491
ALIM GRUP,03128075,50789146,Aktivan,19236278,592494,6,,,2017-03-23,8620651
MULTICOM RETAIL,02759535,50538222,Aktivan,19310621,140593,88,,,2009-07-06,6330975
ZETA TRADE,02634163,50334761,Aktivan,18645044,884080,12,,,2006-11-24,3101359
CASTELLANA CO,02244128,50045823,Aktivan,18915432,378491,136,,,2002-08-06,18064662
BELLEVUE HOTELS GROUP,02415828,50226673,Aktivan,18765227,4798850,216,,,2004-07-21,62535707
TERNA CRNA GORA,02845237,50609159,Aktivan,18051816,8965031,13,,,2011-06-22,235965656
GLOSARIJ CD,02894998,50638471,Aktivan,18314811,4014242,20,,,2012-08-17,18191982
FIDIJA,02111616,50095993,Aktivan,18322004,872015,53,,,2002-08-13,11759842
PUT-GROSS,02066360,50089611,Aktivan,18581812,337765,194,,,2002-08-14,15965993
TF CAPITAL AD,03448398,40009835,Aktivan,18064970,-249307,4,,,2022-06-22,45340020
ČELEBIĆ,02073048,50049154,Aktivan,17533668,67443,142,,,2002-08-07,77457713
AUTOČAČAK PODGORICA,02466414,50300853,Aktivan,18070999,2381656,23,,,2006-06-05,24419418
BOBI COMERC,02186586,50008073,Aktivan,17884778,566869,40,,,2002-07-19,3931369
SWISSLION TAKOVO,02645874,50354282,Aktivan,18169579,634725,171,,,2007-02-15,13648683
DAJKOVIĆ CO NAMOS,02333325,50027520,Aktivan,16746563,2569723,107,,,2002-07-30,22163504
LJETOPIS AUTOMOTIVE,02357992,50011881,Aktivan,16343640,1458985,38,,,2002-07-23,19542458
TEHNO PLUS,02325454,50064333,Aktivan,16356315,238287,92,,,2002-08-09,13146701
BENU,02194007,80000622,Aktivan,15959625,601488,169,,,2002-07-23,7219201
HOME SYSTEMS,02709392,50459461,Aktivan,16145735,2073545,43,,,2008-04-03,11119502
MEHANIZACIJA I PROGRAMAT,02259648,40003693,Aktivan,16617296,60962,196,,,2002-08-12,24063933
ENTEXT,02086484,50008202,Aktivan,16488872,131405,97,,,2002-07-19,14035960
JAVNO PREDUZEĆE ZA UPRAVLJANJE MORSKIM DOBROM CRNE GORE,02116146,80010870,Aktivan,16055154,3145137,200,,,2002-08-14,19173285
VIRA,03416291,51015591,Aktivan,15539388,614157,3,,,2022-03-18,8447267
PUTEVI BAR,03014584,50709211,Aktivan,15557228,94626,101,,,2014-10-22,5504442
LUKA BAR,02002558,40000235,Aktivan,16891201,1175346,452,,,2002-07-25,77546504
TELEMACH CRNA GORA DOO,02811618,50741974,Aktivan,15609009,1211140,135,,,2010-10-01,20704158
KROLBAY,03266567,50893004,Aktivan,15707173,-38439,231,,,2019-06-24,44015111
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU VELETEX DOO PODGORICA,02395673,50666601,Aktivan,15676669,548350,114,,,2013-01-14,20531912
EPAM SYSTEMS MONTENEGRO DOO,03381447,50984001,Aktivan,14786390,1449798,268,,,2021-09-13,5094098
CARINVEST,02349124,50139633,Aktivan,16292173,1120897,120,,,2002-10-17,33597764
TELEMONT,02241102,50014493,Aktivan,15099282,411616,49,,,2002-07-25,9549054
EURO TEHNIKA MN,02338181,50074653,Aktivan,15397222,807534,89,,,2002-08-12,18601456
GRADIR MONTENEGRO,02620359,50313402,Aktivan,14781985,-553882,160,,,2006-08-10,15630245
KUĆA HEMIJE,02363933,50140592,Aktivan,14577903,1596911,145,,,2002-10-24,10755643
BB SOLAR,02844575,50608827,Aktivan,15387059,795801,48,,,2011-06-24,14212069
