Naziv kompanije,PIB,Matični broj,CRPS Status,Promet 2024,Profit,Broj zaposlenih,Grad,Adresa,Datum osnivanja,Ukupna aktiva
FARMALAB,02729164,50490754,Aktivan,4272573,239119,23,,,2008-09-01,1909932
BLUE LINE,02033356,50304533,Aktivan,4242801,1308952,77,,,2006-06-12,5653626
HTP VILE OLIVA,02624575,50319764,Aktivan,4490868,1760461,14,,,2006-09-18,44207347
RADONA-TRADE D.O.O,02208962,50024741,Aktivan,4213024,346264,49,,,2002-07-05,3206441
ANĐELIĆ PLAST,02467623,50302693,Aktivan,4190628,277606,34,,,2006-06-14,4976163
DIO STRANOG DRUŠTVA HOTEL ŠUMADIJA BEČIĆI - BUDVA,02672375,60001614,Aktivan,4194859,1991042,40,,,2003-01-31,10509283
LUXOR,02328941,50026911,Aktivan,4202546,330453,44,,,2002-08-06,3262049
MM MARKET,02910217,50648184,Aktivan,4230192,159450,33,,,2013-01-09,700463
AGROMARKET CG,02631512,50330311,Aktivan,4175589,395380,11,,,2006-11-06,3525006
NIKLANOVIĆ,02160072,50091103,Aktivan,4244528,484336,61,,,2002-08-12,820034
VSG COMMERCE,02070677,50026672,Aktivan,4141231,96369,29,,,2002-07-31,2455296
BMP GRADNJA,02837722,50605813,Aktivan,4167130,927466,34,,,2011-05-10,5280386
NEDIM KOMERC,02215209,50027023,Aktivan,4581986,1412777,12,,,2002-07-31,11010497
ALBA PETROL,02764130,50545084,Aktivan,4141285,156132,11,,,2009-08-31,810902
AGRO GROUP,02828898,50601200,Aktivan,4149312,191995,69,,,2011-03-23,1968965
JET-ROSE DOO,03431304,51029094,Aktivan,4107105,33692,4,,,2022-04-29,721414
FERRO - STIL,02353679,50034143,Aktivan,4250029,139580,32,,,2002-08-02,3619861
MONTENEGRO METROPOLIS MEDIA,02333694,50085730,Aktivan,4159980,2904146,13,,,2002-08-12,8109029
JADRAN MARKET,02354845,50027463,Aktivan,4226703,162135,35,,,2002-07-31,795123
KRAMAR,03231321,50865367,Aktivan,4124493,188363,5,,,2018-12-04,1398272
SS ALGA,02867877,50622718,Aktivan,36866364,481772,37,,,2012-02-02,13142604
AZMONT INVESTMENTS,02893126,50637073,Aktivan,51036523,-3328071,17,,,2012-07-12,321759455
EXPO COMMERCE,02280612,50090331,Aktivan,36201527,2310230,201,,,2002-08-13,29175840
ŠKORPION,02083442,50081170,Aktivan,35056672,2907454,97,,,2002-08-12,30555821
IMLEK BOKA,02357950,50001250,Aktivan,34683353,762265,48,,,2002-07-12,8225164
SPORT VISION,03187608,50832330,Aktivan,35461736,5106031,322,,,2018-04-24,19687477
AERODROMI CRNE GORE,02305623,40009414,Aktivan,41163455,10674278,998,,,2014-02-11,180748321
CEROVO,02069814,50020253,Aktivan,34239033,1129084,225,,,2002-07-29,25388509
PEARL EXECUTIVE AVIATION,02848147,50610691,Aktivan,33651559,727140,9,,,2011-07-20,2213286
INDUSTRIJA PIVA I SOKOVA TREBJESA D.O.O. NIKŠIĆ,02000989,50664628,Aktivan,35416155,3363544,216,,,2013-05-14,37329157
ZETA FILM,02005263,40000383,Aktivan,34064863,3236535,5,,,2002-08-02,43421967
COMTRADE DISTRIBUTION,02297248,50131450,Aktivan,33178285,763312,29,,,2002-08-14,10969460
LOB COMMPANY,02335450,50000952,Aktivan,34183082,11976595,336,,,2002-07-09,20668811
NET MONTENEGRO,03076067,50751175,Aktivan,32948246,9778993,494,,,2016-01-25,88113782
ROKŠPED AUTO CENTAR,02976820,50686725,Aktivan,31607105,337682,49,,,2014-03-07,10804002
13 JUL - PLANTAŽE A.D,02016281,40000895,Aktivan,35674959,1046199,634,,,2002-08-14,446725086
MNA GAMING,02757192,50532960,Aktivan,28678714,1386748,575,,,2009-05-18,21121321
STOLITOMSON COMPANY DOO,03399575,51000409,Aktivan,28492082,3105666,3,,,2021-12-14,5541756
UNIPROM - METALI,02915731,50651476,Aktivan,28853770,3098364,36,,,2013-02-13,57110550
HOTELS GROUP MONTENEGRO STARS,02385040,50182430,Aktivan,29348514,1830093,558,,,2003-07-15,103518876
KALAMPER,02100762,50087972,Aktivan,27712877,1136793,164,,,2002-08-12,22467194
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU KIM TEC CG - PODGORICA,02438372,50260874,Aktivan,27463458,1415244,32,,,2005-08-24,8575310
DONATOR,02129183,50015064,Aktivan,27715014,2029724,326,,,2002-07-25,19118905
MAESTRAL HOTELS AND CASINOS,02343029,50003894,Aktivan,26517177,4106004,350,,,2002-07-19,39590538
TARA - AEROSPACE A.D,02464691,40233171,Aktivan,24398501,8208306,221,,,2006-03-10,30120039
FASHION COMPANY,02456907,50286264,Aktivan,25661824,3767035,127,,,2006-03-20,21286212
POŠTA CRNE GORE AKCIONARSKO DRUŠTVO PODGORICA,02867940,40009338,Aktivan,26736661,2553047,1244,,,2012-02-02,50216132
BUDVANSKA RIVIJERA,02005328,40004651,Aktivan,27372262,3987577,588,,,2002-08-13,204819278
TCK MONTENEGRO,02655373,50369350,Aktivan,24684004,558204,1,,,2007-04-10,4927648
